age,monthly_income,monthly_expenses,existing_savings,employment_status,num_dependents,location_type,digital_savviness,has_bank_account,has_ewallet,savings_goal,risk_tolerance,investment_horizon,recommended_product,disposable_income,expense_ratio,savings_to_income_ratio,income_per_dependent
39,20166.09,16126.43,18667.15,Self-employed,3,Urban,4,0,1,Emergency Fund,Conservative,Short-term,gcash_gsave,4039.66,0.7996409001001136,0.9256243711908858,5041.5225
21,8107.34,6652.9,20198.04,Employed,2,Rural,2,0,0,Retirement,Moderate,Long-term,bpi_time_deposit,1454.4400000000005,0.8205008670085369,2.491020356817795,2702.4466666666667
24,3681.65,3053.32,0.0,Freelancer,0,Urban,4,0,0,Emergency Fund,Conservative,Medium-term,gcash_gsave,628.3299999999999,0.829109472798121,0.0,3681.65
24,17583.42,14906.78,23868.54,Employed,0,Urban,2,1,1,Travel,Aggressive,Short-term,maya_savings,2676.6399999999976,0.8477265670405962,1.3573686251807,17583.42
26,70099.62,54518.63,154430.05,Self-employed,0,Urban,5,1,1,Business Capital,Conservative,Medium-term,maya_time_deposit,15580.989999999998,0.7777196549759474,2.2029769494192775,70099.62
43,44320.83,39132.39,5909.3,Freelancer,5,Urban,4,0,0,Retirement,Aggressive,Long-term,gcash_ginvest,5188.440000000002,0.8829145818211928,0.1333270760706406,7386.805
51,3779.42,3191.66,7541.96,Unemployed,3,Rural,1,0,0,Travel,Conservative,Short-term,maya_savings,587.7600000000002,0.8442606906110961,1.995005845911301,944.855
47,1751.02,1494.49,0.0,Unemployed,4,Rural,3,0,1,Emergency Fund,Moderate,Medium-term,gcash_gsave,256.53,0.8530096688393968,0.0,350.204
55,39798.11,21939.05,182977.56,Self-employed,1,Rural,2,1,0,Retirement,Conservative,Medium-term,bpi_time_deposit,17859.06,0.5512447388898897,4.597528939717496,19899.055
33,25907.47,17211.31,8294.02,Employed,2,Urban,3,1,1,Business Capital,Moderate,Medium-term,bpi_save_up,8696.16,0.6643120956196951,0.3201277420086945,8635.823333333334
23,34783.37,28857.32,13003.09,Self-employed,0,Rural,4,0,1,Business Capital,Conservative,Long-term,gcash_ginvest,5926.050000000003,0.8296059408291712,0.3738199081943988,34783.37
24,8548.15,7262.5,2166.14,Freelancer,0,Urban,5,0,1,Travel,Aggressive,Short-term,maya_savings,1285.6499999999996,0.849499657860723,0.2533748969195768,8548.15
22,2646.1,1988.33,8361.29,Student,0,Urban,4,0,1,General Savings,Moderate,Medium-term,maya_personal_goals,657.77,0.7511352045634846,3.1586604208378986,2646.1
23,12602.26,9890.23,1807.65,Employed,2,Urban,5,1,1,Emergency Fund,Moderate,Long-term,maya_savings,2712.0300000000007,0.7847358540568075,0.1434271767780717,4200.753333333333
37,17038.77,13929.41,1292.54,Employed,1,Urban,4,0,1,Travel,Aggressive,Long-term,gcash_ginvest,3109.3600000000006,0.8174646723517981,0.075854310240103,8519.385
26,12538.65,9838.04,3990.85,Freelancer,0,Urban,2,0,1,General Savings,Conservative,Medium-term,gcash_gsave,2700.6099999999988,0.7845545928315385,0.31825848408847135,12538.65
21,2764.03,2481.52,0.0,Student,1,Rural,5,0,1,Education,Moderate,Short-term,maya_savings,282.5100000000002,0.8974658502801054,0.0,1382.015
29,24514.08,17667.37,63080.39,Employed,1,Metro Manila,3,1,1,Business Capital,Conservative,Long-term,bpi_time_deposit,6846.710000000003,0.7206735609265806,2.5731260106024534,12257.04
34,1109.49,921.54,0.0,Self-employed,2,Rural,4,0,1,General Savings,Conservative,Medium-term,gcash_gsave,187.95000000000005,0.8298498860863223,0.0,369.83
52,71866.93,59852.42,64152.47,Self-employed,2,Urban,3,1,1,General Savings,Moderate,Long-term,bpi_time_deposit,12014.509999999995,0.8328112413979365,0.8926439094600332,23955.64333333333
36,1419.31,1075.56,5831.66,Unemployed,2,Metro Manila,4,0,1,Emergency Fund,Conservative,Medium-term,gcash_gsave,343.75,0.7572712999274807,4.105906457041068,473.1033333333333
36,32400.84,26488.41,73716.72,Self-employed,4,Rural,3,0,0,Emergency Fund,Moderate,Short-term,maya_savings,5912.43,0.8174970927576952,2.2750782054352467,6480.168
44,24758.41,19304.85,22511.93,Employed,3,Rural,1,0,0,Home/Property,Conservative,Medium-term,gcash_gsave,5453.560000000001,0.7796974968304979,0.90922723925974,6189.6025
