age,monthly_income,monthly_expenses,existing_savings,employment_status,num_dependents,location_type,digital_savviness,has_bank_account,has_ewallet,savings_goal,risk_tolerance,investment_horizon,recommended_product
39,20166.09,16126.43,18667.15,Self-employed,3,Urban,4,0,1,Emergency Fund,Conservative,Short-term,gcash_gsave
21,8107.34,6652.9,20198.04,Employed,2,Rural,2,0,0,Retirement,Moderate,Long-term,bpi_time_deposit
24,3681.65,3053.32,0.0,Freelancer,0,Urban,4,0,0,Emergency Fund,Conservative,Medium-term,gcash_gsave
24,17583.42,14906.78,23868.54,Employed,0,Urban,2,1,1,Travel,Aggressive,Short-term,maya_savings
26,70099.62,54518.63,154430.05,Self-employed,0,Urban,5,1,1,Business Capital,Conservative,Medium-term,maya_time_deposit
43,44320.83,39132.39,5909.3,Freelancer,5,Urban,4,0,0,Retirement,Aggressive,Long-term,gcash_ginvest
51,3779.42,3191.66,7541.96,Unemployed,3,Rural,1,0,0,Travel,Conservative,Short-term,maya_savings
47,1751.02,1494.49,0.0,Unemployed,4,Rural,3,0,1,Emergency Fund,Moderate,Medium-term,gcash_gsave
55,39798.11,21939.05,182977.56,Self-employed,1,Rural,2,1,0,Retirement,Conservative,Medium-term,bpi_time_deposit
33,25907.47,17211.31,8294.02,Employed,2,Urban,3,1,1,Business Capital,Moderate,Medium-term,bpi_save_up
23,34783.37,28857.32,13003.09,Self-employed,0,Rural,4,0,1,Business Capital,Conservative,Long-term,gcash_ginvest
24,8548.15,7262.5,2166.14,Freelancer,0,Urban,5,0,1,Travel,Aggressive,Short-term,maya_savings
22,2646.1,1988.33,8361.29,Student,0,Urban,4,0,1,General Savings,Moderate,Medium-term,maya_personal_goals
23,12602.26,9890.23,1807.65,Employed,2,Urban,5,1,1,Emergency Fund,Moderate,Long-term,maya_savings
37,17038.77,13929.41,1292.54,Employed,1,Urban,4,0,1,Travel,Aggressive,Long-term,gcash_ginvest
26,12538.65,9838.04,3990.85,Freelancer,0,Urban,2,0,1,General Savings,Conservative,Medium-term,gcash_gsave
21,2764.03,2481.52,0.0,Student,1,Rural,5,0,1,Education,Moderate,Short-term,maya_savings
